what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1418978687061
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1418978709727
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1418978709766
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1418978710304
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1418978711163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978716037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1418978716086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978752461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978778260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978789306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978843149
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1418978845129
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1418978845145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978848402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978858622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978860259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978869124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978873059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978875455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978880617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978890642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978891315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978894313
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1418978898373
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1418978900734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978903595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978907718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978908709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978910118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978968843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978970004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978984557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978986894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978990031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418978997554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418979000407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418979002287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1418979318847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418979319580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418979320672
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418979320844
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1418979321126
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1418979321126
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1418979321127
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1418979321127
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1418979321127
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1418979321127
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1418979321127
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1418979321127
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1418979321127
